sellerID;sellerName;rating;city;email;registrationDate;quantityOfSoldProducts;quantityOfDefectiveProducts
18923;DMWear;3.93;Perm;com.perm@gmail.dmwear;2022.07.17;0;0
18929;2Pets;2.75;Ufa;com.ufa@gmail.2pets;2019.06.17;7;1
18972;RetroSp;0.44;Tver;com.tver@gmail.retrosp;2010.09.20;0;0
19055;PrimeCraft;3.06;Petrozavodsk;com.petrozavodsk@gmail.primecraft;2010.12.06;6;1
19136;MagHunt;0.27;Ufa;com.ufa@gmail.maghunt;2012.03.15;3;0
19151;1Win;0.94;Dno;com.dno@gmail.1win;2014.08.27;5;0
19230;LukUgar;2.89;Kostroma;com.kostroma@gmail.lukugar;2014.03.10;0;0
19252;GameMSt;1.94;Perm;com.perm@gmail.gamemst;2011.02.16;5;0
19329;InterTop;4.29;Ulyupensk;com.ulyupensk@gmail.intertop;2010.08.10;19;0
19399;Kikkers;0.78;Khabarovsk;com.khabarovsk@gmail.kikkers;2016.08.28;11;0
19442;SamaraOSG;4.47;Ufa;com.ufa@gmail.samaraosg;2013.12.17;4;0
19499;TverProd;0.34;Moscow;com.moscow@gmail.tverprod;2018.11.09;14;1
19542;Dno3FR;0.73;Kostroma;com.kostroma@gmail.dno3fr;2017.02.26;6;1
19634;30HDStec;5.0;Vladivostok;com.vladivostok@gmail.30hdstec;2017.04.07;9;0
19701;SoulCraft;4.26;Moscow;com.moscow@gmail.soulcraft;2015.08.16;12;1
19758;DotaGifts;4.89;Moscow;com.moscow@gmail.dotagifts;2013.01.23;0;0
